Date,Category,Product,Quantity,Unit Price,Total Price
2024-01-01,Smartphones,iPhone 15,5,999,4995
2024-01-02,Laptops,MacBook Pro,2,1999,3998
2024-01-03,Audio,Sony WH-1000XM5,10,350,3500
2024-01-04,Smart Home,Amazon Echo Dot,15,49,735
2024-01-05,Wearables,Apple Watch Series 9,8,399,3192
2024-01-06,Audio,AirPods Pro,12,249,2988
2024-01-07,Laptops,Dell XPS 13,3,1299,3897
2024-01-08,Televisions,Samsung 4K TV,4,800,3200
2024-01-09,Gaming,PS5 Console,6,499,2994
2024-01-10,Cameras,Sony Alpha a7 IV,1,2499,2499
